sequenceID	serotype	genotype	major_lineage	minor_lineage	minor_sublineage
EU920828.1_1993-02	2	-	-	-	-
EU920841.1_2005-10	2	-	-	-	-
FJ882602.1_1996	2	-	-	-	-
GQ398263.1_1975	2	-	-	-	-
GQ868603.1_1987	2	-	-	-	-
KX274130.1_2015	2	-	-	-	-
MT921572.1_2000	2	-	-	-	-
MW512463.1_2016	2	-	-	-	-
MW730833.1_2017-07	2	-	-	-	-
MW946478.1_1974	2	-	-	-	-
OK469352.1_1993	2	-	-	-	-
GQ398257.1_1977	2	2I	-	-	-
JQ922550.1_1971	2	2I	-	-	-
JQ922552.1_1960	2	2I	-	-	-
JQ922553.1_1980	2	2I	-	-	-
JX966379.1_1994	2	2I	-	-	-
MW946575.1_1996	2	2I	-	-	-
AP001_1969-02-11	2	2II	-	-	-
AP002_1969	2	2II	2II_A	-	-
JQ922551.1_2005	2	2II	2II_A	-	-
OM744110.1_2021-11-16	2	2II	2II_A	-	-
KF041236.1_2008	2	2II	2II_A	2II_A.1	-
KY937187.1_2015	2	2II	2II_A	2II_A.1	-
MW512410.1_2014	2	2II	2II_A	2II_A.1	-
KY937189.1_2015	2	2II	2II_A	2II_A.1	-
OP684211.1_2019-10-19	2	2II	2II_A	2II_A.1	-
ON123649.1_2020	2	2II	2II_A	2II_A.2	2II_A.2.1
OP310807.1_2019	2	2II	2II_A	2II_A.2	2II_A.2.1
MK783209.1_2018	2	2II	2II_A	2II_A.2	2II_A.2.1
MG560144.1_2014	2	2II	2II_A	2II_A.2	2II_A.2.1
OP310806.1_2018	2	2II	2II_A	2II_A.2	2II_A.2.1
MN577553.1_2017-06	2	2II	2II_A	2II_A.2	2II_A.2.2
MN577554.1_2017-06	2	2II	2II_A	2II_A.2	2II_A.2.2
KY427084.1_2010-09-01	2	2II	2II_A	2II_A.2	2II_A.2.2
MH822949.1_2014-10-28	2	2II	2II_A	2II_A.2	2II_A.2.2
MN577557.1_2017-07	2	2II	2II_A	2II_A.2	2II_A.2.2
GQ398258.1_1975	2	2II	2II_B	-	-
GQ398259.1_1976	2	2II	2II_B	-	-
MN577562.1_2013-05	2	2II	2II_B	-	-
MN577564.1_2014-06	2	2II	2II_B	-	-
OM317565.1_2020-06-24	2	2II	2II_B	-	-
OL469512.1_2017-04-30	2	2II	2II_B	-	-
KF744397.1_2001	2	2II	2II_C	-	-
MW512409.1_2013	2	2II	2II_C	-	-
MW512467.1_2016	2	2II	2II_C	-	-
KU509277.1_2010	2	2II	2II_C	2II_C.1	-
MT832057.1_2015	2	2II	2II_C	2II_C.1	-
MW512432.1_2014	2	2II	2II_C	2II_C.1	-
KU509276.1_2008	2	2II	2II_C	2II_C.1	-
MK783205.1_2018	2	2II	2II_C	2II_C.1	-
MW881533.1_2021-02-02	2	2II	2II_C	2II_C.1	-
KF744398.1_2005	2	2II	2II_C	2II_C.2	-
MG599592.1_2001	2	2II	2II_C	2II_C.2	-
MG599621.1_2002	2	2II	2II_C	2II_C.2	-
MG599628.1_2002	2	2II	2II_C	2II_C.2	-
MG599631.1_2002	2	2II	2II_C	2II_C.2	-
MN923111.1_2019-08-24	2	2II	2II_D	-	-
EU179859.1_2006	2	2II	2II_D	-	-
KP012546.1_2014	2	2II	2II_D	2II_D.1	-
MW512415.1_2014	2	2II	2II_D	2II_D.1	-
MZ857208.1_2013	2	2II	2II_D	2II_D.1	-
MZ857214.1_2014	2	2II	2II_D	2II_D.1	-
MK564478.1_2016-04-22	2	2II	2II_D	2II_D.1	-
JX470186.1_2010	2	2II	2II_D	2II_D.2	-
KC762680.1_2010-04-05	2	2II	2II_D	2II_D.2	-
MF043956.1_2016	2	2II	2II_D	2II_D.2	-
MK783204.1_2018	2	2II	2II_D	2II_D.2	-
ON890351.1_2017-08-07	2	2II	2II_D	2II_D.2	-
JN851130.1_2005	2	2II	2II_D	2II_D.3	-
KC762673.1_2008-03-11	2	2II	2II_D	2II_D.3	-
KC762675.1_2008-03-08	2	2II	2II_D	2II_D.3	-
MK564482.1_2017-08-07	2	2II	2II_D	2II_D.3	-
MN018352.1_2015-09-07	2	2II	2II_D	2II_D.3	-
MN018349.1_2015-05-09	2	2II	2II_D	2II_D.3	-
KX452015.1_2014-01	2	2II	2II_E	-	-
MT921573.1_2004	2	2II	2II_E	-	-
MW512414.1_2014	2	2II	2II_E	-	-
KM279608.1_2010	2	2II	2II_E	2II_E.1	-
KR779786.2_2013	2	2II	2II_E	2II_E.1	-
KY586700.1_2009	2	2II	2II_E	2II_E.1	-
MW512356.1_2009	2	2II	2II_E	2II_E.1	-
KX380821.1_2012	2	2II	2II_E	2II_E.1	-
KU517845.1_2013-04-23	2	2II	2II_E	2II_E.2	-
KY794785.1_2010-05-11	2	2II	2II_E	2II_E.2	-
MH827526.1_2017	2	2II	2II_E	2II_E.2	-
MN018351.1_2015-05-17	2	2II	2II_E	2II_E.2	-
OP684198.1_2019-01-20	2	2II	2II_E	2II_E.2	-
JF327392.1_2009	2	2II	2II_F	-	-
MK578532.1_2016-04-01	2	2II	2II_F	-	-
OP684180.1_2018-07-02	2	2II	2II_F	2II_F.1	-
OP684196.1_2019-01-05	2	2II	2II_F	2II_F.1	-
OP684201.1_2019-08-16	2	2II	2II_F	2II_F.1	-
OP921000.1_2022-07-29	2	2II	2II_F	2II_F.1	-
OL414732.1_2020-08	2	2II	2II_F	2II_F.1	2II_F.1.1
OL414749.1_2020-06	2	2II	2II_F	2II_F.1	2II_F.1.1
OL414754.1_2020-08	2	2II	2II_F	2II_F.1	2II_F.1.1
OL414755.1_2020-08	2	2II	2II_F	2II_F.1	2II_F.1.1
OL414764.1_2020-08	2	2II	2II_F	2II_F.1	2II_F.1.1
ON634755.1_2022-03-06	2	2II	2II_F	2II_F.1	2II_F.1.2
EPI_ISL_17699786_2023-03-27	2	2II	2II_F	2II_F.1	2II_F.1.2
LC436675.1_2017-12	2	2II	2II_F	2II_F.1	2II_F.1.2
OM744143.1_2021-11-29	2	2II	2II_F	2II_F.1	2II_F.1.2
ON634745.1_2022-03-14	2	2II	2II_F	2II_F.1	2II_F.1.2
