source.name	sequenceID	length	pubmed_id	serotype	genotype	isolate_data.country	isolate_data.collection_year	isolate_data.sampled_host_sci_name
ncbi-curated	AB189122	10723	-	2	2II	Indonesia: Sumatra	-	Homo sapiens
ncbi-curated	AB189123	10723	-	2	2II	Indonesia: Sumatra	-	Homo sapiens
ncbi-curated	AB189124	10723	-	2	2II	Indonesia: Sumatra	-	Homo sapiens
ncbi-curated	AB189125	10707	-	3	3I	Indonesia: Sumatra	-	Homo sapiens
ncbi-curated	AB189126	10707	-	3	3I	Indonesia: Sumatra	-	Homo sapiens
ncbi-curated	AB189127	10707	-	3	3I	Indonesia: Sumatra	-	Homo sapiens
ncbi-curated	AB189128	10707	-	3	-	Indonesia: Sumatra	-	Homo sapiens
ncbi-curated	AB214879	10707	-	3	-	Timor-Leste	-	Homo sapiens
ncbi-curated	AB214880	10707	-	3	-	Timor-Leste	-	Homo sapiens
ncbi-curated	AB214881	10707	-	3	-	Timor-Leste	-	Homo sapiens
ncbi-curated	AB214882	10707	-	3	-	Timor-Leste	-	Homo sapiens
ncbi-curated	AF119661	10723	-	2	2III	China: Hainan Province	-	-
ncbi-curated	AF204178	10723	-	2	-	China:Guangxi province	-	-
ncbi-curated	AF276619	10723	-	2	2II	China:Fujian Province	-	-
ncbi-curated	AF289029	10665	-	4	4I	China: Guangzhou	-	-
ncbi-curated	AF359579	10723	-	2	2II	-	-	-
ncbi-curated	AJ487271	10597	-	2	-	Thailand	-	-
ncbi-curated	AJ968413	10723	-	2	-	Taiwan:Hsiao-Liu-Chiu Islet, Ping Tong	-	Homo sapiens
ncbi-curated	AY037116	10723	-	2	2II	Australia: Townsville	-	-
ncbi-curated	AY373427	10014	-	1	1IV	-	-	-
ncbi-curated	AY376737	10014	-	1	1I	-	-	-
ncbi-curated	AY376738	10014	-	1	-	-	-	-
ncbi-curated	AY496879	10707	-	3	-	Philippines	1997	-
ncbi-curated	AY662691	10707	-	3	3III	Singapore	-	-
ncbi-curated	AY708047	10614	-	1	1I	Myanmar	-	-
ncbi-curated	AY713474	10614	-	1	1I	Myanmar	-	-
