taxon	sequenceID	source.name	genotype	major_lineage	minor_lineage	isolate	country	collection_year
alignment/AL_UNC_DENV3/member/ncbi-refseqs/EU081181	EU081181	ncbi-refseqs	3III	3III_A	3III_A.1	D3/SG/SS710/2004	Singapore	2004
alignment/AL_UNC_DENV3/member/ncbi-refseqs/EU081187	EU081187	ncbi-refseqs	3III	3III_A	3III_A.1	D3/SG/05K843DK1/2005	Singapore	2005
alignment/AL_UNC_DENV3/member/ncbi-refseqs/EU081191	EU081191	ncbi-refseqs	3III	3III_A	3III_A.1	D3/SG/05K868DK1/2005	Singapore	2005
alignment/AL_UNC_DENV3/member/ncbi-refseqs/EU081199	EU081199	ncbi-refseqs	3III	3III_A	3III_A.1	D3/SG/05K3305DK1/2005	Singapore	2005
alignment/AL_UNC_DENV3/member/ncbi-refseqs/EU081220	EU081220	ncbi-refseqs	3III	3III_A	3III_A.1	D3/SG/05K4182DK1/2005	Singapore	2005
alignment/AL_UNC_DENV3/member/ncbi-refseqs/EU482452	EU482452	ncbi-refseqs	3II	3II_A	3II_A.1	DENV-3/VN/BID-V1008/2006	Viet Nam: south	2006
alignment/AL_UNC_DENV3/member/ncbi-refseqs/EU660409	EU660409	ncbi-refseqs	3II	3II_A	3II_A.1	DENV-3/VN/BID-V1329/2006	Viet Nam: South	2006
alignment/AL_UNC_DENV3/member/ncbi-refseqs/EU932687	EU932687	ncbi-refseqs	3III	3III_C	3III_C.1	DENV-3/VE/BID-V1149/2007	Venezuela: Aragua	2007
alignment/AL_UNC_DENV3/member/ncbi-refseqs/EU932688	EU932688	ncbi-refseqs	3III	3III_C	3III_C.1	DENV-3/VE/BID-V1150/2007	Venezuela: Aragua	2007
alignment/AL_UNC_DENV3/member/ncbi-refseqs/FJ432743	FJ432743	ncbi-refseqs	3II	3II_A	3II_A.1	DENV-3/VN/BID-V1817/2007	Viet Nam: South	2007
alignment/AL_UNC_DENV3/member/ncbi-refseqs/FJ850109	FJ850109	ncbi-refseqs	3III	3III_C	3III_C.1	DENV-3/VE/BID-V2480/2007	Venezuela: Aragua	2007
alignment/AL_UNC_DENV3/member/ncbi-refseqs/FJ850111	FJ850111	ncbi-refseqs	3III	3III_C	3III_C.1	DENV-3/VE/BID-V2484/2007	Venezuela: Aragua	2007
alignment/AL_UNC_DENV3/member/ncbi-refseqs/FJ898456	FJ898456	ncbi-refseqs	3I	3I_B	3I_B	DENV-3/WS/BID-V2973/1995	Samoa	1995
alignment/AL_UNC_DENV3/member/ncbi-refseqs/GQ868587	GQ868587	ncbi-refseqs	3III	3III_C	3III_C.1	DENV-3/VE/BID-V2483/2007	Venezuela: Aragua	2007
alignment/AL_UNC_DENV3/member/ncbi-refseqs/HQ541806	HQ541806	ncbi-refseqs	3III	3III_C	3III_C.2	DENV-3/NI/BID-V4753/2009	Nicaragua: Managua	2009
alignment/AL_UNC_DENV3/member/ncbi-refseqs/JF937636	JF937636	ncbi-refseqs	3III	3III_C	3III_C.2	DENV-3/NI/BID-V5506/2009	Nicaragua: Managua	2009
alignment/AL_UNC_DENV3/member/ncbi-refseqs/JQ920476	JQ920476	ncbi-refseqs	3I	3I_B	3I_B	PF91/090891-22130	French Polynesia: Tahiti	1991
alignment/AL_UNC_DENV3/member/ncbi-refseqs/JQ920477	JQ920477	ncbi-refseqs	3I	3I_B	3I_B	PF93/200493-110185	French Polynesia	1993
alignment/AL_UNC_DENV3/member/ncbi-refseqs/JQ920478	JQ920478	ncbi-refseqs	3I	3I_B	3I_B	PF95/190795-20064	French Polynesia: Tahiti	1995
alignment/AL_UNC_DENV3/member/ncbi-refseqs/JQ922554	JQ922554	ncbi-refseqs	3V	3V	3V	DENV-3/USA/633798/1963	USA	1963
alignment/AL_UNC_DENV3/member/ncbi-refseqs/KM190937	KM190937	ncbi-refseqs	3V	3V	3V	VIROAF7	Philippines	1964
alignment/AL_UNC_DENV3/member/ncbi-refseqs/KU050695	KU050695	ncbi-refseqs	3V	3V	3V	H87	Philippines	1956
alignment/AL_UNC_DENV3/member/ncbi-refseqs/KY586724	KY586724	ncbi-refseqs	3II	3II_A	3II_A.2	Ser3_Thailand_Bangkok_Seq17	Thailand	2000
alignment/AL_UNC_DENV3/member/ncbi-refseqs/KY586820	KY586820	ncbi-refseqs	3III	3III_B	3III_B.1	Ser3_Thailand_nonBKK_Seq38	Thailand	2008
alignment/AL_UNC_DENV3/member/ncbi-refseqs/KY586821	KY586821	ncbi-refseqs	3III	3III_B	3III_B.1	Ser3_Thailand_nonBKK_Seq39	Thailand	2010
alignment/AL_UNC_DENV3/member/ncbi-refseqs/KY586822	KY586822	ncbi-refseqs	3III	3III_B	3III_B.1	Ser3_Thailand_nonBKK_Seq40	Thailand	2009
alignment/AL_UNC_DENV3/member/ncbi-refseqs/LC436676	LC436676	ncbi-refseqs	3I	3I_A	3I_A.2	B17-1471	Bangladesh	2017
alignment/AL_UNC_DENV3/member/ncbi-refseqs/LC436677	LC436677	ncbi-refseqs	3I	3I_A	3I_A.2	B17-1479	Bangladesh	2017
